[cudnnSetConvolutionNdDescriptor] [{convDesc:1048921}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048927}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048933}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048939}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048945}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048951}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048957}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048963}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048969}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048975}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048981}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048987}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048993}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1048999}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049005}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049011}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049017}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049023}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049029}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049035}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049041}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049047}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049053}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049059}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049065}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049071}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049077}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049083}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049089}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049095}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049101}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049107}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049113}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049119}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049125}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049131}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049137}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049143}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049149}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049155}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049161}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049167}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049173}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049179}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049185}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049191}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049197}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049203}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049209}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049215}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049221}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049227}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049233}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049239}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049245}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049251}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049257}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049263}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049269}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049275}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049281}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049287}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049293}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049299}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049305}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049311}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049317}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049323}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049329}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049335}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049341}, {padA:(0, 0)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
[cudnnSetConvolutionNdDescriptor] [{convDesc:1049347}, {padA:(1, 1)}, {filterStrideA:(1, 1)}, {dilationA:(1, 1)}, {dataType:0}]
