[cudnnSetTensorNdDescriptor] [{tensorDesc:1048689}, {dimA:(1, 128, 1, 1)}, {strideA:(128, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048690}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048692}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048694}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048695}, {dimA:(1, 128, 1, 1)}, {strideA:(128, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048696}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048698}, {dimA:(1, 512, 28, 28)}, {strideA:(401408, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048700}, {dimA:(1, 512, 28, 28)}, {strideA:(401408, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048701}, {dimA:(1, 512, 1, 1)}, {strideA:(512, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048702}, {dimA:(1, 512, 28, 28)}, {strideA:(401408, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048704}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048706}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048707}, {dimA:(1, 128, 1, 1)}, {strideA:(128, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048708}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048710}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048712}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048713}, {dimA:(1, 128, 1, 1)}, {strideA:(128, 1, 1, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048714}, {dimA:(1, 128, 28, 28)}, {strideA:(100352, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048716}, {dimA:(1, 512, 28, 28)}, {strideA:(401408, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048718}, {dimA:(1, 512, 28, 28)}, {strideA:(401408, 784, 28, 1)}]
[cudnnSetTensorNdDescriptor] [{tensorDesc:1048719}, {dimA:(1, 512, 1, 1)}, {strideA:(512, 1, 1, 1)}]
