[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049296}, {wDesc:1049297}, {convDesc:1049299}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1049298}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049302}, {wDesc:1049303}, {convDesc:1049305}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1049304}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049308}, {wDesc:1049309}, {convDesc:1049311}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1049310}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049314}, {wDesc:1049315}, {convDesc:1049317}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1049316}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049320}, {wDesc:1049321}, {convDesc:1049323}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1049322}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049326}, {wDesc:1049327}, {convDesc:1049329}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1049328}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049332}, {wDesc:1049333}, {convDesc:1049335}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1049334}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049338}, {wDesc:1049339}, {convDesc:1049341}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1049340}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049344}, {wDesc:1049345}, {convDesc:1049347}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1049346}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049350}, {wDesc:1049351}, {convDesc:1049353}, {algo:1}, {workSpaceSizeInBytes:2057488}, {yDesc:1049352}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049356}, {wDesc:1049357}, {convDesc:1049359}, {algo:1}, {workSpaceSizeInBytes:2054416}, {yDesc:1049358}, {beta:0.000000}]
[cudnnConvolutionForward] [{alpha:1.000000}, {xDesc:1049362}, {wDesc:1049363}, {convDesc:1049365}, {algo:6}, {workSpaceSizeInBytes:6555648}, {yDesc:1049364}, {beta:0.000000}]
